field_name	allowed_value	definition	coding_notes
relationship_type	computational_reproduction_of	A source/result computationally reproduces another paper/result.	Use for same-data/code reproduction relationships.
relationship_type	robustness_reanalysis_of	A source/result reanalyzes robustness of another result.	Use for alternative specifications/checks rather than new-sample replication.
relationship_type	meta_analysis_includes_study	A meta-analysis or pooled round includes a component study/result.	Use for pooled/component hierarchies.
relationship_type	corpus_asserts_result_for_paper	A corpus/database asserts that a represented paper/result has specific numbers.	Use when we are taking the corpus row as the immediate evidence source.
relationship_type	corpus_asserts_preregistration_for_paper	A corpus asserts preregistration but no registry/PAP artifact has been obtained.	Keep confidence low unless the artifact is later resolved.
relationship_type	paper_uses_dataset	A paper uses or analyzes a dataset/source.	Use for paper-data source relationships.
relationship_type	source_derives_from_source	One source object is derived from another.	Use for extracted tables, converted files, and generated outputs.
relationship_type	duplicate_of	Two sources/results represent the same object or claim.	Use for dedupe mapping; do not double-count both.
relationship_type	parent_collection_contains_child	A parent collection contains a child source/result.	Use for corpus, database, or pooled-round parent-child membership.
relationship_subtype	preregistration	General preregistration relationship.	Use when a more specific PAP/registered-report/trial subtype is unavailable.
relationship_subtype	pre_analysis_plan	Pre-analysis plan artifact.	Use for PAP documents and PAP sections.
relationship_subtype	meta_analysis_pre_analysis_plan	Meta-analysis pre-analysis plan artifact.	Use for MPAPs such as Metaketa pooled analysis plans.
relationship_subtype	registered_report_stage1_protocol	Stage 1 registered-report protocol.	Use for accepted protocols before results.
relationship_subtype	registered_report_stage2_results	Stage 2 registered-report results paper.	Use when mapping protocol to final registered-report paper.
relationship_subtype	trial_registry_record	Trial or study registry record.	Use for NCT/AEA/RIDIE/EGAP/OSF-style registry records.
relationship_subtype	data_or_code_package	Data/code/package support relationship.	Use for repository/package mappings.
relationship_subtype	paper_supplement	Supplementary paper file relationship.	Use for appendices, supplements, and supplemental tables.
relationship_subtype	direct_replication	Replication intended to repeat the same claim/design closely.	Use for same-claim original/replication pairs.
relationship_subtype	conceptual_replication	Replication of a construct using different operationalization/design.	Use when source says conceptual replication or design differs materially.
relationship_subtype	computational_reproduction	Same-data/code reproduction.	Use for computational reproducibility checks.
relationship_subtype	robustness_reanalysis	Alternative analysis/specification check.	Use for robustness projects.
relationship_subtype	extension_study	Replication plus extension or new conditions.	Use when extension is material.
relationship_subtype	pilot_full_scale_pair	Pilot/smaller study paired with later full-scale/larger study.	Use for pilot-to-main-study pairs.
relationship_subtype	pooled_round_component	Component study included in pooled round/meta-analysis.	Use for Metaketa and similar pooled designs.
relationship_subtype	corpus_child_paper	Paper included as a child of a corpus.	Use for membership without result-level numbers.
relationship_subtype	database_child_result	Result row included as child of a database/corpus.	Use for row-level source assertions.
relationship_subtype	citation_or_link_only	Relationship inferred only from citation/link metadata.	Use when no value/selector evidence has been copied.
relationship_subtype	unknown	Subtype is not yet known.	Use only while staged; add an extraction_problem if it matters for promotion.
relationship_timing	pre_data_collection	Relationship/artifact predates data collection.	Use only when timing evidence supports this.
relationship_timing	pre_analysis	Relationship/artifact predates analysis/results but data may already exist.	Use for PAPs, protocols, or registered reports when analysis timing is verified.
relationship_timing	post_data_pre_results	Relationship/artifact was created after data collection but before results were known or reported.	Use when this distinction is documented.
relationship_timing	post_results	Relationship/artifact was created after results were known or public.	Do not use as preregistered confirmatory evidence.
relationship_timing	not_applicable	Timing is not meaningful for this relationship.	Use for corpus membership, duplicate, and many package-support relationships.
relationship_timing	unknown	Timing has not been audited or cannot be determined.	Use honestly rather than guessing.
mapping_evidence_type	verbatim_text	Relationship is supported by copied text.	Preferred when an article/registry/PAP explicitly states the relationship.
mapping_evidence_type	metadata_field	Relationship is supported by a structured metadata field.	Use for corpus/database/API columns.
mapping_evidence_type	doi_link	Relationship is supported by DOI matching/linking.	Use when DOI itself is the relationship evidence.
mapping_evidence_type	registry_link	Relationship is supported by registry link/ID.	Use for NCT/AEA/EGAP/RIDIE/OSF registry relationships.
mapping_evidence_type	citation_match	Relationship is supported by citation matching.	Use when title/author/year/citation identifies the target.
mapping_evidence_type	title_author_year_match	Relationship is supported by title/author/year matching.	Use when no durable ID is available.
mapping_evidence_type	code_or_package_manifest	Relationship is supported by package manifest, file path, or code metadata.	Use for replication packages and package-derived rows.
mapping_evidence_type	manual_judgment	Relationship currently depends on manual coding judgment.	Use sparingly and keep confidence low/medium.
mapping_evidence_type	unknown	Evidence type not yet known.	Use only while staged.
replication_role	none	No replication/reproduction relationship is asserted for this result.	Default for ordinary result rows.
replication_role	original_study	This result is the original/target side of a replication pair.	Use when paired to later replication/reproduction.
replication_role	replication_study	This result is the replicating/follow-up side.	Use for new-sample/direct/conceptual replication rows.
replication_role	computational_reproduction	This result is a computational reproduction of a prior result.	Use for same-data/code reproduction.
replication_role	robustness_check	This result is a robustness reanalysis of a prior result.	Use for alternative specifications/checks.
replication_role	corpus_replication_assertion	The row asserts a replication relationship, but side/source details are incomplete.	Stage until original/replication sides are resolved.
replication_role	unknown	Role is not yet known.	Use only temporarily and add a problem if relevant.
support_role	effect_text	Support object contains or asserts the effect/statistic text.	Use when this object is the literal source of verbatim_effect_text.
support_role	n_text	Support object contains or asserts the N/sample-size text.	Use when this object is the literal source of verbatim_n_text.
support_role	outcome_text	Support object contains or asserts the outcome label/text.	Use when outcome wording comes from a different source than the effect.
support_role	selector_text	Support object contains prereg/PAP/focal-selector text.	Use for registry/PAP/MPAP selector support.
support_role	conversion_input	Support object contains inputs needed for D/native conversion.	Use for SDs, control means, event counts, arm Ns, SEs, or formulas.
support_role	raw_data	Support object is raw data for recomputation.	Use for row-level or participant-level data files.
support_role	analytic_data	Support object is cleaned/analytic data.	Use when recomputation starts from prepared analysis data.
support_role	code	Support object is code/script/notebook.	Use for scripts that produce or transform values.
support_role	recomputed_output	Support object is generated output from rerunning code.	Use for logs, tables, or saved model outputs.
support_role	bibliographic_identity	Support object grounds the identity of the represented work.	Use for DOI/Crossref/PubMed/OpenAlex records and title metadata.
support_role	access_grounding	Support object proves route/access status but not the number.	Use for abstracts, landing pages, paywalls, and blocked attempts.
support_role	relationship_evidence	Support object asserts a mapping between sources.	Use for prereg, replication, package, and corpus-membership relationships.
support_role	other	Other support role.	Explain in notes.
membership_role	preferred	Controlled value `preferred` for `membership_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
membership_role	child	Controlled value `child` for `membership_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
membership_role	excluded_child	Controlled value `excluded_child` for `membership_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
membership_role	duplicate	Controlled value `duplicate` for `membership_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
membership_role	sensitivity_only	Controlled value `sensitivity_only` for `membership_role`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
classification_type	field	Controlled value `field` for `classification_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
classification_type	subfield	Controlled value `subfield` for `classification_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
classification_type	source_family	Controlled value `source_family` for `classification_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
classification_type	study_design	Controlled value `study_design` for `classification_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
classification_type	publication_type	Controlled value `publication_type` for `classification_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
classification_type	journal_or_venue	Controlled value `journal_or_venue` for `classification_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
classification_type	other	Controlled value `other` for `classification_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	mean_difference	Controlled value `mean_difference` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	standardized_mean_difference	Controlled value `standardized_mean_difference` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	odds_ratio	Controlled value `odds_ratio` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	log_odds_ratio	Controlled value `log_odds_ratio` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	risk_difference	Controlled value `risk_difference` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	correlation	Controlled value `correlation` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	regression_coefficient	Controlled value `regression_coefficient` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	t_statistic	Controlled value `t_statistic` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	z_statistic	Controlled value `z_statistic` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	f_statistic	Controlled value `f_statistic` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	p_value_only	Controlled value `p_value_only` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	hazard_ratio	Controlled value `hazard_ratio` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	rate_ratio	Controlled value `rate_ratio` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	count_difference	Controlled value `count_difference` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	native_ate	Controlled value `native_ate` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	elasticity	Controlled value `elasticity` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
native_effect_metric	unknown	Controlled value `unknown` for `native_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
standardized_effect_metric	d	Controlled value `d` for `standardized_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
standardized_effect_metric	hedges_g	Controlled value `hedges_g` for `standardized_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
standardized_effect_metric	smd	Controlled value `smd` for `standardized_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
standardized_effect_metric	chinn_log_or_to_d	Controlled value `chinn_log_or_to_d` for `standardized_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
standardized_effect_metric	r_to_d	Controlled value `r_to_d` for `standardized_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
standardized_effect_metric	fisher_z_to_d	Controlled value `fisher_z_to_d` for `standardized_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
standardized_effect_metric	t_to_d	Controlled value `t_to_d` for `standardized_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
standardized_effect_metric	z_to_d	Controlled value `z_to_d` for `standardized_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
standardized_effect_metric	d_proxy	Controlled value `d_proxy` for `standardized_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
standardized_effect_metric	native_only	Controlled value `native_only` for `standardized_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
standardized_effect_metric	not_promoted	Controlled value `not_promoted` for `standardized_effect_metric`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
d_conversion_method	reported_d	Source directly reports Cohen's d.	Use directly; document whether signed/absolute and any correction.
d_conversion_method	reported_g	Source directly reports Hedges' g.	Use directly or store as g; document if converted to d-like axis.
d_conversion_method	reported_smd	Source directly reports standardized mean difference.	Use when the standardization is source-defined.
d_conversion_method	chinn_log_or_to_d	Log odds ratio converted to d by Chinn formula.	Require log OR and enough context to justify latent-scale conversion.
d_conversion_method	event_counts_to_log_or_to_d	Arm event counts converted to log OR then d.	Require treatment/control event and non-event counts; record continuity correction if used.
d_conversion_method	r_to_d	Correlation converted to d.	Use d = 2r/sqrt(1-r^2).
d_conversion_method	fisher_z_to_r_to_d	Fisher z converted to r then d.	Use r = tanh(z), then r_to_d.
d_conversion_method	standardized_outcome_coefficient	Regression coefficient on a documented standardized outcome.	Use only when outcome standardization source is documented.
d_conversion_method	source_provided_d_proxy	A source/corpus provides a D-like proxy but original conversion is not fully verified.	Flag as proxy and avoid claiming original-source conversion.
d_conversion_method	paper_median_of_child_d	Paper-level/canonical D is the median of eligible child result Ds.	Preserve child rows and aggregation rule.
d_conversion_method	no_d_native_metric	No defensible D conversion; native metric only.	Use for native panel rows.
d_conversion_method	blocked_missing_inputs	D/native conversion is blocked because inputs are missing.	Add extraction_problem and to-do.
prereg_status	prereg_confirmed_pre_data	Preregistration/PAP confirmed before data collection.	Use only with date/timing evidence.
prereg_status	prereg_confirmed_pre_analysis	Preregistration/PAP confirmed before analysis/results but not necessarily before data collection.	Use only with timing evidence.
prereg_status	registered_report	Registered-report workflow evidence exists.	Use with protocol/stage mapping details.
prereg_status	proposal_pre_fielding_not_full_prereg	A proposal/design was locked before fielding but lacks full preregistration/PAP elements.	Useful for TESS-like cases; do not overstate as PAP-confirmed.
prereg_status	registry_metadata_only	A registry record exists but timing/selector/details are not fully audited.	Use until filing date and selector text are verified.
prereg_status	registry_record_timing_not_audited	A registry record is identified and sourceable, but its preregistration timing has not been audited.	Use for registry-derived rows until dates/amendments are checked.
prereg_status	prereg_asserted_by_corpus_no_artifact	A corpus or source label says preregistered, but no registry/PAP artifact URL has been obtained.	Low-confidence prereg evidence; must not become PAP-confirmed without artifact.
prereg_status	not_preregistered	Evidence indicates no preregistration.	Use only when source/corpus explicitly classifies it as not preregistered.
prereg_status	unknown	Preregistration status has not been determined.	Use as default outside prereg panels.
selector_status	pap_primary	Controlled value `pap_primary` for `selector_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
selector_status	pap_secondary	Controlled value `pap_secondary` for `selector_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
selector_status	registry_primary	Controlled value `registry_primary` for `selector_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
selector_status	article_primary	Controlled value `article_primary` for `selector_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
selector_status	first_confirmatory_hypothesis	Controlled value `first_confirmatory_hypothesis` for `selector_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
selector_status	median_across_preregistered_primaries	Controlled value `median_across_preregistered_primaries` for `selector_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
selector_status	corpus_focal_claim	Controlled value `corpus_focal_claim` for `selector_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
selector_status	database_primary_outcome	Controlled value `database_primary_outcome` for `selector_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
selector_status	not_focal	Controlled value `not_focal` for `selector_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
selector_status	no_focal_selector	Controlled value `no_focal_selector` for `selector_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
confidence	high	Evidence is direct, specific, and low ambiguity.	Use when source text/metadata clearly supports the coded value or relationship.
confidence	medium	Evidence is plausible but has unresolved details or relies on structured corpus/database interpretation.	Use for most corpus assertions before original-source verification.
confidence	low	Evidence is weak, indirect, incomplete, or needs manual confirmation.	Use for title-only/corpus-only assertions and ambiguous matches.
confidence	blocked	Evidence cannot currently be checked because access or identifiers are blocked.	Use with extraction_problem and manual to-do.
human_check_status	source_cells_recovered	Controlled value `source_cells_recovered` for `human_check_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
human_check_status	n_only_recovered	Controlled value `n_only_recovered` for `human_check_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
human_check_status	plot_summary_only	Controlled value `plot_summary_only` for `human_check_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
human_check_status	needs_pdf_check	Controlled value `needs_pdf_check` for `human_check_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
human_check_status	needs_code_execution	Controlled value `needs_code_execution` for `human_check_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
human_check_status	verified_by_human	Controlled value `verified_by_human` for `human_check_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
coding_status	fully_coded	All applicable promotion gates pass.	Only use when source identity, access, locator, verbatim text, parse, transformation, selector, and dedupe are complete.
coding_status	coded_with_schema_gaps	Useful staged row with known provenance gaps.	Keep visible and non-promoted until gaps are resolved.
coding_status	staged_native_metric	Native effect/SE/N are meaningful, but D conversion is not defensible.	Use for clustered/policy/administrative effects lacking D inputs.
coding_status	blocked_missing_d_or_n	Source exists but effect, N, or conversion inputs are missing.	Add extraction_problem with exact missing field.
coding_status	blocked_access	Access barrier prevents source acquisition or verification.	Record route, barrier, and manual action needed.
coding_status	excluded	Row is intentionally excluded from plotting/analysis.	Explain why in notes/problem row.
coding_status	duplicate_existing	Row duplicates another represented result.	Map duplicate and ensure canonical_result does not double-count it.
evidence_level_name	unanchored_number	A number exists but cannot be tied to an external source or represented work.	Level 0; never public-promote.
evidence_level_name	internal_trace_only	The row traces only to this repo's derived/intermediate files.	Level 1; useful for debugging, not public evidence.
evidence_level_name	external_source_assertion	An external source asserts the number but does not identify the represented target robustly.	Level 2; corpus assertion without durable child grounding.
evidence_level_name	external_assertion_with_target_source	An external source asserts the number and provides enough info to find the target source.	Level 3; current minimum floor for public diagnostic plotting.
evidence_level_name	target_source_independently_grounded	The represented target source was resolved independently by DOI/PMID/PMCID/NCT/registry/URL/citation database.	Level 4; identity grounded, number not yet verified from original.
evidence_level_name	original_source_obtained	Value-bearing source object bytes were obtained or mirrored.	Level 5; metadata/paywall/abstract-only pages do not count unless value is present.
evidence_level_name	original_number_extracted	We copied/extracted the exact number/supporting text from original or authoritative source bytes.	Level 6; source-text verification achieved.
evidence_level_name	recomputed_from_raw	We recomputed the number from raw data/code and preserved outputs.	Level 7; strongest computational provenance.
citation_status	real_citation	Controlled value `real_citation` for `citation_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
citation_status	generated_internal	Controlled value `generated_internal` for `citation_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
citation_status	missing	Controlled value `missing` for `citation_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
problem_code	missing_verbatim_effect_text	Controlled value `missing_verbatim_effect_text` for `problem_code`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
problem_code	missing_verbatim_n_text	Controlled value `missing_verbatim_n_text` for `problem_code`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
problem_code	missing_source_locator	Controlled value `missing_source_locator` for `problem_code`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
problem_code	source_is_derived_not_original_text	Controlled value `source_is_derived_not_original_text` for `problem_code`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
problem_code	access_blocked	Controlled value `access_blocked` for `problem_code`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
problem_code	needs_pdf_check	Controlled value `needs_pdf_check` for `problem_code`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
problem_code	needs_code_execution	Controlled value `needs_code_execution` for `problem_code`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
problem_code	conversion_not_defensible	Controlled value `conversion_not_defensible` for `problem_code`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
problem_code	duplicate_needs_resolution	Controlled value `duplicate_needs_resolution` for `problem_code`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
problem_code	missing_bibliographic_key	Controlled value `missing_bibliographic_key` for `problem_code`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
severity	high	Controlled value `high` for `severity`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
severity	medium	Controlled value `medium` for `severity`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
severity	low	Controlled value `low` for `severity`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolution_status	single_source_result	Controlled value `single_source_result` for `resolution_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolution_status	preferred_source_selected	Controlled value `preferred_source_selected` for `resolution_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolution_status	multiple_source_results_need_resolution	Controlled value `multiple_source_results_need_resolution` for `resolution_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolution_status	duplicate_existing	Controlled value `duplicate_existing` for `resolution_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolution_status	blocked	Controlled value `blocked` for `resolution_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	registry_clinicaltrials	Controlled value `registry_clinicaltrials` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	pubmed_bridge	Controlled value `pubmed_bridge` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	pmc_fulltext	Controlled value `pmc_fulltext` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	crossref_metadata	Controlled value `crossref_metadata` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	datacite_metadata	Controlled value `datacite_metadata` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	unpaywall_metadata	Controlled value `unpaywall_metadata` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	openalex_metadata	Controlled value `openalex_metadata` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	semantic_scholar_metadata	Controlled value `semantic_scholar_metadata` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	europepmc_metadata	Controlled value `europepmc_metadata` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	oa_candidate_url	Controlled value `oa_candidate_url` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	preprint_repository_candidate	Controlled value `preprint_repository_candidate` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	direct_journal_or_doi_landing	Controlled value `direct_journal_or_doi_landing` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	stable_url	Controlled value `stable_url` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
resolver_strategy	other	Controlled value `other` for `resolver_strategy`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision	source_object_mirrored	Controlled value `source_object_mirrored` for `decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision	metadata_only	Controlled value `metadata_only` for `decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision	abstract_or_landing_only	Controlled value `abstract_or_landing_only` for `decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision	paywall_or_login	Controlled value `paywall_or_login` for `decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision	captcha_or_bot_block	Controlled value `captcha_or_bot_block` for `decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision	access_denied	Controlled value `access_denied` for `decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision	blocked	Controlled value `blocked` for `decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision	not_retrieved	Controlled value `not_retrieved` for `decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision	manual_review	Controlled value `manual_review` for `decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
decision	candidate_rejected	Controlled value `candidate_rejected` for `decision`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
classification_confidence	high	Controlled value `high` for `classification_confidence`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
classification_confidence	medium	Controlled value `medium` for `classification_confidence`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
classification_confidence	low	Controlled value `low` for `classification_confidence`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
classification_confidence	blocked	Controlled value `blocked` for `classification_confidence`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_type	corpus_or_database	Controlled value `corpus_or_database` for `lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_type	registry_record	Controlled value `registry_record` for `lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_type	paper_or_article	Controlled value `paper_or_article` for `lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_type	individual_replication_paper	Controlled value `individual_replication_paper` for `lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_type	replication_project	Controlled value `replication_project` for `lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_type	preregistration_or_pap	Controlled value `preregistration_or_pap` for `lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_type	repository_package	Controlled value `repository_package` for `lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_type	candidate_result_table	Controlled value `candidate_result_table` for `lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_type	raw_data_or_code_package	Controlled value `raw_data_or_code_package` for `lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
lead_type	manual_source_suggestion	Controlled value `manual_source_suggestion` for `lead_type`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
triage_status	not_started	Controlled value `not_started` for `triage_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
triage_status	seeded_from_existing_artifact	Controlled value `seeded_from_existing_artifact` for `triage_status`.	Use only when this exact status/category applies; otherwise leave blank or use unknown/blocked as appropriate.
